Case Number,Day of the Week,Time of the Day,Nature of the Call
B16-35837,Thursday,MORNING,ACCIDENT PI
B16-35836,Thursday,MORNING,SUSP ACT IP
B16-35835,Thursday,MORNING,SUSP ACT NP
B16-35839,Thursday,MORNING,ACCIDENT PD NP
B16-35834,Thursday,MORNING,SERIAL MOTOR CH
B16-35832,Thursday,MORNING,THEFT NP
B16-35831,Thursday,MORNING,DISTURBANCE IP
B16-35833,Thursday,MORNING,ACCIDENT LSA NP
B16-35829,Thursday,MORNING,SUSP ACT IP
B16-35830,Thursday,MORNING,ACCIDENT LSA NP
B16-35827,Thursday,MORNING,MOTORIST ASSIST
B16-35828,Thursday,MORNING,ATL
B16-35826,Thursday,MORNING,NOISE
B16-35825,Thursday,MORNING,PROPERTY
B16-35824,Thursday,MORNING,ACCIDENT PD IP
B16-35823,Thursday,MORNING,ACCIDENT PD IP
B16-35822,Thursday,MORNING,ALARM
B16-35820,Thursday,MORNING,BURGLARY NP
B16-35819,Thursday,MORNING,THEFT NP
B16-35818,Thursday,MORNING,PROPERTY
B16-35817,Thursday,MORNING,ASSAULT IP
B16-35821,Thursday,MORNING,ABANDONED VEH
B16-35815,Thursday,MORNING,ACCIDENT PD IP
B16-35814,Thursday,MORNING,TRAFFIC STOP
B16-35816,Thursday,MORNING,THEFT NP
B16-35813,Thursday,MORNING,ALARM
B16-35812,Thursday,MORNING,SUSP ACT IP
B16-35811,Thursday,MORNING,ACCIDENT PD IP
B16-35810,Thursday,MORNING,ALARM
B16-35807,Thursday,MORNING,PROWLER IP
B16-35808,Thursday,MORNING,ABANDONED VEH
B16-35806,Thursday,MORNING,ASSIGNED DETAIL
B16-35809,Thursday,MORNING,ABANDONED VEH
B16-35805,Thursday,NIGHT,RUNAWAY
B16-35804,Thursday,NIGHT,ASSIGNED DETAIL
B16-35803,Thursday,NIGHT,BURGLARY IP
B16-35802,Thursday,NIGHT,ACCIDENT PD IP
B16-35801,Thursday,NIGHT,THEFT IP
B16-35800,Thursday,NIGHT,NOISE
B16-35799,Thursday,NIGHT,TRAFFIC STOP
B16-35797,Thursday,NIGHT,WELFARE CHK IP
B16-35798,Thursday,NIGHT,MENTAL HEALTH
B16-35795,Thursday,NIGHT,BURGLARY IP
B16-35794,Thursday,NIGHT,FIGHT IP
B16-35796,Thursday,NIGHT,SERVICE IP
B16-35791,Thursday,NIGHT,TRAFFIC STOP
B16-35793,Thursday,NIGHT,ALCOHOL RELATED
B16-35792,Thursday,NIGHT,WELFARE CHK IP
B16-35790,Thursday,NIGHT,DOMESTIC IP
B16-35789,Thursday,NIGHT,DRUNK
B16-35788,Thursday,NIGHT,ANIMAL
B16-35787,Thursday,NIGHT,INFORMATION
B16-35785,Thursday,NIGHT,TRAFFIC STOP
B16-35784,Thursday,NIGHT,TRAFFIC HAZARD
B16-35783,Thursday,NIGHT,TRAFFIC STOP
B16-35782,Thursday,NIGHT,TRAFFIC STOP
B16-35781,Thursday,NIGHT,ABANDONED VEH
B16-35786,Wednesday,NIGHT,NOISE
B16-35780,Wednesday,NIGHT,ALARM
B16-35779,Wednesday,NIGHT,SUSP ACT IP
B16-35777,Wednesday,NIGHT,FOLLOW UP
B16-35778,Wednesday,NIGHT,WELFARE CHK IP
B16-35775,Wednesday,NIGHT,WEAPONS IP
B16-35776,Wednesday,NIGHT,DRUNK
B16-35774,Wednesday,NIGHT,TRAFFIC STOP
B16-35773,Wednesday,NIGHT,TRAFFIC STOP
B16-35772,Wednesday,NIGHT,SUSP ACT IP
B16-35771,Wednesday,NIGHT,SUSP ACT IP
B16-35770,Wednesday,NIGHT,MOTORIST ASSIST
B16-35769,Wednesday,NIGHT,DOMESTIC IP
B16-35767,Wednesday,NIGHT,FOLLOW UP
B16-35768,Wednesday,NIGHT,WARRANT SERVICE
B16-35765,Wednesday,NIGHT,ALARM
B16-35764,Wednesday,NIGHT,SUSP ACT IP
B16-35761,Wednesday,NIGHT,HARASSMENT IP
B16-35759,Wednesday,NIGHT,ALARM
B16-35760,Wednesday,NIGHT,ATL
B16-35763,Wednesday,NIGHT,THEFT NP
B16-35762,Wednesday,NIGHT,THEFT NP
B16-35758,Wednesday,NIGHT,SUSP ACT IP
B16-35766,Wednesday,NIGHT,CIVIL IP
B16-35757,Wednesday,NIGHT,SERVICE IP
B16-35756,Wednesday,NIGHT,TRAFFIC STOP
B16-35755,Wednesday,NIGHT,SERVICE IP
B16-35753,Wednesday,NIGHT,TRAFFIC STOP
B16-35754,Wednesday,NIGHT,THEFT IP
B16-35752,Wednesday,NIGHT,DISTURBANCE IP
B16-35751,Wednesday,NIGHT,DISTURBANCE IP
B16-35750,Wednesday,DAY,SUSP ACT IP
B16-35748,Wednesday,DAY,WELFARE CHK IP
B16-35747,Wednesday,DAY,DOMESTIC IP
B16-35749,Wednesday,DAY,PROPERTY
B16-35746,Wednesday,DAY,DOMESTIC IP
B16-35745,Wednesday,DAY,THEFT NP
B16-35743,Wednesday,DAY,ATL
B16-35742,Wednesday,DAY,WELFARE CHK IP
B16-35741,Wednesday,DAY,JUVENILE
B16-35744,Wednesday,DAY,HARASSMENT NP
B16-35740,Wednesday,DAY,ACCIDENT PD IP
B16-35739,Wednesday,DAY,TRESPASS IP
B16-35738,Wednesday,DAY,TRESPASS IP
B16-35735,Wednesday,DAY,WELFARE CHK IP
B16-35734,Wednesday,DAY,ACCIDENT PD IP
B16-35733,Wednesday,DAY,TRAFFIC STOP
B16-35737,Wednesday,DAY,ATL
B16-35736,Wednesday,DAY,ATL
B16-35731,Wednesday,DAY,MOTORIST ASSIST
B16-35732,Wednesday,DAY,ACCIDENT LSA IP
B16-35730,Wednesday,DAY,THEFT NP
B16-35729,Wednesday,DAY,HARASSMENT NP
B16-35728,Wednesday,DAY,SUSP ACT IP
B16-35727,Wednesday,DAY,TRAFFIC STOP
B16-35726,Wednesday,DAY,TRAFFIC STOP
B16-35725,Wednesday,DAY,CIVIL NP
B16-35724,Wednesday,DAY,SUSP ACT IP
B16-35723,Wednesday,DAY,THEFT NP
B16-35720,Wednesday,DAY,TRAFFIC STOP
B16-35722,Wednesday,DAY,MISSING PERSON
B16-35721,Wednesday,DAY,VANDALISM IP
B16-35719,Wednesday,DAY,EXTRA PATROL
B16-35718,Wednesday,DAY,ACCIDENT PD IP
B16-35717,Wednesday,DAY,WELFARE CHK IP
B16-35716,Wednesday,DAY,DOMESTIC IP
B16-35715,Wednesday,DAY,TRAFFIC STOP
B16-35713,Wednesday,DAY,MOTORIST ASSIST
B16-35712,Wednesday,DAY,ACCIDENT PI
B16-35714,Wednesday,DAY,ABANDONED VEH
B16-35711,Wednesday,DAY,DISTURBANCE IP
B16-35710,Wednesday,DAY,FOLLOW UP
B16-35709,Wednesday,DAY,WELFARE CHK IP
B16-35708,Wednesday,DAY,SERVICE IP
B16-35705,Wednesday,DAY,DRUNK
B16-35704,Wednesday,DAY,ACCIDENT PD NP
B16-35707,Wednesday,DAY,FOLLOW UP
B16-35702,Wednesday,DAY,VANDALISM NP
B16-35703,Wednesday,DAY,SUSP ACT IP
B16-35701,Wednesday,DAY,ATL
B16-35700,Wednesday,DAY,PROPERTY
B16-35699,Wednesday,DAY,ALARM
B16-35706,Wednesday,DAY,ASSAULT NP
B16-35698,Wednesday,DAY,THEFT NP
B16-35697,Wednesday,DAY,ATL
B16-35696,Wednesday,DAY,ACCIDENT PD IP
B16-35695,Wednesday,DAY,FOLLOW UP
B16-35693,Wednesday,DAY,DISTURBANCE IP
B16-35694,Wednesday,DAY,FOLLOW UP
B16-35692,Wednesday,DAY,SERVICE IP
B16-35691,Wednesday,MORNING,SERVICE IP
B16-35690,Wednesday,MORNING,FOLLOW UP
B16-35688,Wednesday,MORNING,FRAUD
B16-35686,Wednesday,MORNING,FOLLOW UP
B16-35685,Wednesday,MORNING,SUSP ACT IP
B16-35684,Wednesday,MORNING,INDECENT EXP
B16-35687,Wednesday,MORNING,FRAUD
B16-35683,Wednesday,MORNING,JUVENILE
B16-35689,Wednesday,MORNING,SERIAL MOTOR CH
B16-35681,Wednesday,MORNING,SUSP ACT IP
B16-35682,Wednesday,MORNING,BURGLARY NP
B16-35679,Wednesday,MORNING,THEFT IP
B16-35680,Wednesday,MORNING,BLDG CHECK
B16-35677,Wednesday,MORNING,CIVIL NP
B16-35678,Wednesday,MORNING,PROPERTY
B16-35676,Wednesday,MORNING,THEFT NP
B16-35674,Wednesday,MORNING,ATL
B16-35669,Wednesday,MORNING,FOLLOW UP
B16-35670,Wednesday,MORNING,SERVICE IP
B16-35675,Wednesday,MORNING,PROPERTY
B16-35671,Wednesday,MORNING,THEFT IP
B16-35672,Wednesday,MORNING,VEH THEFT NP
B16-35673,Wednesday,MORNING,FOLLOW UP
B16-35667,Wednesday,MORNING,ALARM
B16-35666,Wednesday,MORNING,TRAFFIC HAZARD
B16-35665,Wednesday,MORNING,VANDALISM NP
B16-35664,Wednesday,MORNING,SERIAL MOTOR CH
B16-35668,Wednesday,MORNING,THEFT NP
B16-35663,Wednesday,MORNING,ACCIDENT PD IP
B16-35662,Wednesday,MORNING,ACCIDENT PD IP
B16-35661,Wednesday,MORNING,ACCIDENT LSA NP
B16-35660,Wednesday,MORNING,ALARM
B16-35658,Wednesday,MORNING,ASSIGNED DETAIL
B16-35657,Wednesday,MORNING,FOLLOW UP
B16-35656,Wednesday,NIGHT,SUSP ACT IP
B16-35655,Wednesday,NIGHT,ASSIGNED DETAIL
B16-35659,Wednesday,NIGHT,TRAFFIC HAZARD
B16-35654,Wednesday,NIGHT,DISTURBANCE IP
B16-35653,Wednesday,NIGHT,INDECENT EXP
B16-35652,Wednesday,NIGHT,ATL
B16-35651,Wednesday,NIGHT,NOISE
B16-35650,Wednesday,NIGHT,FOLLOW UP
B16-35648,Wednesday,NIGHT,ALARM
B16-35649,Wednesday,NIGHT,DISTURBANCE IP
B16-35647,Wednesday,NIGHT,TRESPASS IP
B16-35646,Wednesday,NIGHT,HARASSMENT IP
B16-35645,Wednesday,NIGHT,SUSP ACT IP
B16-35644,Wednesday,NIGHT,FOLLOW UP
B16-35642,Wednesday,NIGHT,ASSAULT IP
B16-35643,Wednesday,NIGHT,THEFT NP
B16-35641,Wednesday,NIGHT,TRAFFIC STOP
B16-35640,Wednesday,NIGHT,DOMESTIC IP
B16-35639,Wednesday,NIGHT,DISTURBANCE IP
B16-35638,Wednesday,NIGHT,HARASSMENT NP
B16-35633,Wednesday,NIGHT,WELFARE CHK IP
B16-35636,Tuesday,NIGHT,HARASSMENT NP
B16-35634,Tuesday,NIGHT,SUSP ACT IP
B16-35635,Tuesday,NIGHT,DOMESTIC IP
B16-35637,Tuesday,NIGHT,RUNAWAY
B16-35632,Tuesday,NIGHT,SUSP ACT NP
B16-35630,Tuesday,NIGHT,TRAFFIC STOP
B16-35631,Tuesday,NIGHT,ACCIDENT PD IP
B16-35629,Tuesday,NIGHT,HARASSMENT NP
B16-35628,Tuesday,NIGHT,NOISE
B16-35623,Tuesday,NIGHT,CIVIL IP
B16-35619,Tuesday,NIGHT,TRAFFIC STOP
B16-35621,Tuesday,NIGHT,SEX ASSAULT NP
B16-35620,Tuesday,NIGHT,ACCIDENT LSA IP
B16-35625,Tuesday,NIGHT,PARKING
B16-35622,Tuesday,NIGHT,CIVIL IP
B16-35616,Tuesday,NIGHT,ATL
B16-35618,Tuesday,NIGHT,WELFARE CHK IP
B16-35617,Tuesday,NIGHT,HARASSMENT NP
B16-35615,Tuesday,NIGHT,TRAFFIC STOP
B16-35626,Tuesday,NIGHT,VANDALISM NP
B16-35627,Tuesday,NIGHT,ANIMAL
B16-35614,Tuesday,NIGHT,DRUNK
B16-35613,Tuesday,NIGHT,THEFT NP
B16-35612,Tuesday,NIGHT,DISTURBANCE IP
B16-35609,Tuesday,NIGHT,TRAFFIC STOP
B16-35610,Tuesday,NIGHT,ATL
B16-35608,Tuesday,NIGHT,EXTRA PATROL
B16-35611,Tuesday,NIGHT,ACCIDENT LSA NP
B16-35607,Tuesday,NIGHT,SUSP ACT IP
B16-35606,Tuesday,NIGHT,THEFT NP
B16-35605,Tuesday,NIGHT,FOLLOW UP
B16-35604,Tuesday,DAY,DRUNK
B16-35602,Tuesday,DAY,PARKING
B16-35601,Tuesday,DAY,FOLLOW UP
B16-35603,Tuesday,DAY,FRAUD
B16-35600,Tuesday,DAY,ACCIDENT PD IP
B16-35597,Tuesday,DAY,ACCIDENT PI
B16-35599,Tuesday,DAY,THEFT NP
B16-35596,Tuesday,DAY,ACCIDENT LSA IP
B16-35595,Tuesday,DAY,ALARM
B16-35598,Tuesday,DAY,HARASSMENT NP
B16-35591,Tuesday,DAY,WELFARE CHK IP
B16-35593,Tuesday,DAY,FOLLOW UP
B16-35590,Tuesday,DAY,WELFARE CHK IP
B16-35589,Tuesday,DAY,ACCIDENT PD IP
B16-35592,Tuesday,DAY,THEFT NP
B16-35594,Tuesday,DAY,SERVICE NP
B16-35588,Tuesday,DAY,WARRANT SERVICE
B16-35586,Tuesday,DAY,MISSING PERSON
B16-35585,Tuesday,DAY,FOLLOW UP
B16-35584,Tuesday,DAY,TRAFFIC STOP
B16-35587,Tuesday,DAY,SERVICE IP
B16-35581,Tuesday,DAY,ACCIDENT PD IP
B16-35583,Tuesday,DAY,THEFT NP
B16-35580,Tuesday,DAY,DOMESTIC IP
B16-35577,Tuesday,DAY,TRAFFIC STOP
B16-35579,Tuesday,DAY,SERVICE IP
B16-35578,Tuesday,DAY,FRAUD
B16-35575,Tuesday,DAY,TRESPASS IP
B16-35576,Tuesday,DAY,THEFT NP
B16-35573,Tuesday,DAY,TRAFFIC STOP
B16-35574,Tuesday,DAY,DISTURBANCE IP
B16-35572,Tuesday,DAY,MOTORIST ASSIST
B16-35624,Tuesday,DAY,FRAUD
B16-35571,Tuesday,DAY,EXTRA PATROL
B16-35568,Tuesday,DAY,RUNAWAY
B16-35582,Tuesday,DAY,PARKING
B16-35567,Tuesday,DAY,ACCIDENT PI
B16-35565,Tuesday,DAY,EXTRA PATROL
B16-35566,Tuesday,DAY,WELFARE CHK IP
B16-35569,Tuesday,DAY,PROPERTY
B16-35563,Tuesday,DAY,TRAFFIC STOP
B16-35564,Tuesday,DAY,WELFARE CHK IP
B16-35570,Tuesday,DAY,PROPERTY
B16-35562,Tuesday,DAY,ACCIDENT PD IP
B16-35560,Tuesday,DAY,WELFARE CHK IP
B16-35561,Tuesday,DAY,ACCIDENT PD IP
B16-35559,Tuesday,DAY,ALARM
B16-35558,Tuesday,DAY,VANDALISM NP
B16-35557,Tuesday,DAY,FOLLOW UP
B16-35556,Tuesday,DAY,THEFT IP
B16-35554,Tuesday,DAY,ACCIDENT PD IP
B16-35553,Tuesday,DAY,ATL
B16-35552,Tuesday,DAY,TRESPASS NP
B16-35551,Tuesday,DAY,TRAFFIC STOP
B16-35550,Tuesday,DAY,SUSP ACT IP
B16-35547,Tuesday,DAY,FOLLOW UP
B16-35548,Tuesday,DAY,FOLLOW UP
B16-35545,Tuesday,DAY,TRAFFIC STOP
B16-35555,Tuesday,DAY,FRAUD
B16-35544,Tuesday,DAY,TRAFFIC STOP
B16-35543,Tuesday,DAY,TRAFFIC STOP
B16-35542,Tuesday,DAY,EXTRA PATROL
B16-35549,Tuesday,DAY,DOMESTIC NP
B16-35546,Tuesday,DAY,SERVICE IP
B16-35540,Tuesday,DAY,ALARM
B16-35539,Tuesday,DAY,SERVICE IP
B16-35541,Tuesday,DAY,PARKING
B16-35538,Tuesday,DAY,FOLLOW UP
B16-35536,Tuesday,DAY,PANHANDLING
B16-35535,Tuesday,DAY,ACCIDENT PD IP
B16-35537,Tuesday,DAY,ABANDONED VEH
B16-35534,Tuesday,DAY,WELFARE CHK IP
B16-35533,Tuesday,MORNING,WELFARE CHK IP
B16-35531,Tuesday,MORNING,DRUNK
B16-35530,Tuesday,MORNING,TRESPASS NP
B16-35532,Tuesday,MORNING,CIVIL NP
B16-35529,Tuesday,MORNING,SUSP ACT NP
B16-35528,Tuesday,MORNING,ACCIDENT PD IP
B16-35526,Tuesday,MORNING,ACCIDENT PD IP
B16-35527,Tuesday,MORNING,HARASSMENT NP
B16-35525,Tuesday,MORNING,DISTURBANCE IP
B16-35524,Tuesday,MORNING,PANHANDLING
B16-35523,Tuesday,MORNING,TRAFFIC STOP
B16-35522,Tuesday,MORNING,PROPERTY
B16-35520,Tuesday,MORNING,PROPERTY
B16-35521,Tuesday,MORNING,ASSAULT NP
B16-35519,Tuesday,MORNING,PROPERTY
B16-35518,Tuesday,MORNING,THEFT NP
B16-35516,Tuesday,MORNING,THEFT NP
B16-35515,Tuesday,MORNING,VANDALISM IP
B16-35517,Tuesday,MORNING,BURGLARY NP
B16-35513,Tuesday,MORNING,EXTRA PATROL
B16-35514,Tuesday,MORNING,EXTRA PATROL
B16-35512,Tuesday,MORNING,FIGHT IP
B16-35511,Tuesday,MORNING,THEFT NP
B16-35510,Tuesday,MORNING,PARKING
B16-35509,Tuesday,MORNING,VANDALISM NP
B16-35508,Tuesday,MORNING,TRAFFIC STOP
B16-35507,Tuesday,MORNING,ALARM
B16-35506,Tuesday,MORNING,DISTURBANCE IP
B16-35505,Tuesday,MORNING,ASSIGNED DETAIL
B16-35504,Tuesday,NIGHT,SERVICE IP
B16-35503,Tuesday,NIGHT,DOMESTIC IP
B16-35502,Tuesday,NIGHT,DOMESTIC NP
B16-35501,Tuesday,NIGHT,DRUGS NP
B16-35500,Tuesday,NIGHT,TRAFFIC STOP
B16-35499,Tuesday,NIGHT,SUSP ACT NP
B16-35498,Tuesday,NIGHT,ALARM
B16-35497,Tuesday,NIGHT,SUSP ACT IP
B16-35496,Tuesday,NIGHT,FOLLOW UP
B16-35495,Tuesday,NIGHT,TRESPASS IP
B16-35494,Tuesday,NIGHT,TRAFFIC STOP
B16-35493,Tuesday,NIGHT,SUSP ACT IP
B16-35492,Tuesday,NIGHT,TRAFFIC STOP
B16-35491,Tuesday,NIGHT,DISTURBANCE IP
B16-35489,Tuesday,NIGHT,WELFARE CHK IP
B16-35488,Tuesday,NIGHT,DOMESTIC IP
B16-35487,Tuesday,NIGHT,DRUGS NP
B16-35490,Tuesday,NIGHT,ATL
B16-35486,Tuesday,NIGHT,FIGHT IP
B16-35485,Tuesday,NIGHT,CIVIL IP
B16-35484,Tuesday,NIGHT,TRAFFIC STOP
B16-35483,Monday,NIGHT,TRAFFIC STOP
B16-35482,Monday,NIGHT,HARASSMENT NP
B16-35481,Monday,NIGHT,SUSP ACT IP
B16-35479,Monday,NIGHT,TRAFFIC STOP
B16-35480,Monday,NIGHT,TRESPASS IP
B16-35478,Monday,NIGHT,SUSP ACT IP
B16-35477,Monday,NIGHT,DISTURBANCE IP
B16-35476,Monday,NIGHT,ATL
B16-35475,Monday,NIGHT,NOISE
B16-35474,Monday,NIGHT,TRAFFIC STOP
B16-35473,Monday,NIGHT,TRAFFIC STOP
B16-35472,Monday,NIGHT,FIGHT IP
B16-35471,Monday,NIGHT,ASSIGNED DETAIL
B16-35469,Monday,NIGHT,MISSING PERSON
B16-35468,Monday,NIGHT,DISTURBANCE IP
B16-35470,Monday,NIGHT,CIVIL IP
B16-35465,Monday,NIGHT,MOTORIST ASSIST
B16-35467,Monday,NIGHT,DOMESTIC IP
B16-35466,Monday,NIGHT,DRUGS IP
B16-35464,Monday,NIGHT,SERVICE IP
B16-35463,Monday,NIGHT,DISTURBANCE IP
B16-35462,Monday,NIGHT,THEFT IP
B16-35461,Monday,NIGHT,DISTURBANCE IP
B16-35460,Monday,NIGHT,WELFARE CHK IP
B16-35459,Monday,NIGHT,DRUGS NP
B16-35458,Monday,DAY,DISTURBANCE IP
B16-35457,Monday,DAY,TRAFFIC HAZARD
B16-35456,Monday,DAY,TRESPASS IP
B16-35455,Monday,DAY,ACCIDENT PD NP
B16-35454,Monday,DAY,MOTORIST ASSIST
B16-35453,Monday,DAY,THEFT NP
B16-35451,Monday,DAY,THEFT NP
B16-35450,Monday,DAY,DISTURBANCE IP
B16-35449,Monday,DAY,ALARM
B16-35447,Monday,DAY,ACCIDENT PD IP
B16-35446,Monday,DAY,ACCIDENT PD IP
B16-35448,Monday,DAY,VANDALISM NP
B16-35452,Monday,DAY,HARASSMENT NP
B16-35445,Monday,DAY,SUSP ACT IP
B16-35443,Monday,DAY,SUSP ACT IP
B16-35444,Monday,DAY,ACCIDENT PD IP
B16-35442,Monday,DAY,ASSAULT IP
B16-35441,Monday,DAY,SUSP ACT IP
B16-35440,Monday,DAY,ACCIDENT PD IP
B16-35439,Monday,DAY,WEAPONS IP
B16-35438,Monday,DAY,ACCIDENT PD IP
B16-35437,Monday,DAY,ALARM
B16-35436,Monday,DAY,ALARM
B16-35435,Monday,DAY,FOLLOW UP
B16-35434,Monday,DAY,PANHANDLING
B16-35432,Monday,DAY,FRAUD
B16-35431,Monday,DAY,SUSP ACT IP
B16-35433,Monday,DAY,VANDALISM NP
B16-35430,Monday,DAY,ATL
B16-35429,Monday,DAY,TRAFFIC STOP
B16-35428,Monday,DAY,ACCIDENT LSA NP
B16-35427,Monday,DAY,ACCIDENT PI
B16-35426,Monday,DAY,TRAFFIC STOP
B16-35425,Monday,DAY,SERVICE IP
B16-35424,Monday,DAY,DOMESTIC IP
B16-35423,Monday,DAY,ASSIGNED DETAIL
B16-35422,Monday,DAY,SUSP ACT NP
B16-35421,Monday,DAY,ACCIDENT PI
B16-35418,Monday,DAY,ASSIGNED DETAIL
B16-35419,Monday,DAY,WELFARE CHK IP
B16-35417,Monday,DAY,VEH THEFT NP
B16-35420,Monday,DAY,FOLLOW UP
B16-35414,Monday,DAY,ALARM
B16-35415,Monday,DAY,ANIMAL
B16-35413,Monday,DAY,PROPERTY
B16-35411,Monday,DAY,THEFT NP
B16-35407,Monday,DAY,FOLLOW UP
B16-35409,Monday,DAY,ACCIDENT PD IP
B16-35410,Monday,DAY,WELFARE CHK IP
B16-35405,Monday,DAY,DISTURBANCE IP
B16-35406,Monday,DAY,DRUGS IP
B16-35416,Monday,DAY,PROPERTY
B16-35408,Monday,DAY,ANIMAL
B16-35403,Monday,MORNING,SERVICE NP
B16-35404,Monday,MORNING,SUSP ACT IP
B16-35401,Monday,MORNING,DISTURBANCE IP
B16-35399,Monday,MORNING,ACCIDENT PD IP
B16-35400,Monday,MORNING,THEFT NP
B16-35402,Monday,MORNING,ABANDONED VEH
B16-35398,Monday,MORNING,WELFARE CHK IP
B16-35396,Monday,MORNING,WARRANT SERVICE
B16-35394,Monday,MORNING,DISTURBANCE IP
B16-35397,Monday,MORNING,VANDALISM NP
B16-35395,Monday,MORNING,HARASSMENT NP
B16-35393,Monday,MORNING,ALARM
B16-35412,Monday,MORNING,PROPERTY
B16-35392,Monday,MORNING,DISTURBANCE IP
B16-35391,Monday,MORNING,PROPERTY
B16-35390,Monday,MORNING,ACCIDENT PI
B16-35389,Monday,MORNING,ALARM
B16-35388,Monday,MORNING,CIVIL NP
B16-35387,Monday,MORNING,SEX ASSAULT NP
B16-35386,Monday,NIGHT,ALARM
B16-35385,Monday,NIGHT,DRUNK
B16-35384,Monday,NIGHT,ALARM
B16-35383,Monday,NIGHT,SUSP ACT NP
B16-35380,Monday,NIGHT,DRUNK
B16-35381,Monday,NIGHT,ASSAULT NP
B16-35379,Monday,NIGHT,WEAPONS IP
B16-35377,Monday,NIGHT,TRESPASS IP
B16-35378,Monday,NIGHT,BURGLARY NP
B16-35376,Monday,NIGHT,SERVICE IP
B16-35375,Monday,NIGHT,SERVICE IP
B16-35382,Monday,NIGHT,NOISE
B16-35373,Monday,NIGHT,DISTURBANCE IP
B16-35372,Monday,NIGHT,TRESPASS IP
B16-35370,Monday,NIGHT,SERVICE IP
B16-35371,Monday,NIGHT,ACCIDENT PD IP
B16-35366,Monday,NIGHT,ALARM
B16-35365,Monday,NIGHT,FOLLOW UP
B16-35374,Monday,NIGHT,VEH THEFT NP
B16-35368,Monday,NIGHT,NOISE
B16-35363,Monday,NIGHT,ASSIGNED DETAIL
B16-35364,Monday,NIGHT,ACCIDENT PD IP
B16-35362,Monday,NIGHT,DOMESTIC IP
B16-35369,Monday,NIGHT,SUSP ACT NP
B16-35367,Monday,NIGHT,NOISE
B16-35361,Monday,NIGHT,SERVICE IP
B16-35360,Monday,NIGHT,TRAFFIC STOP
B16-35359,Monday,NIGHT,TRAFFIC STOP
B16-35358,Monday,NIGHT,TRAFFIC STOP
B16-35357,Sunday,NIGHT,SUSP ACT IP
B16-35356,Sunday,NIGHT,DISTURBANCE IP
B16-35355,Sunday,NIGHT,DOMESTIC IP
B16-35354,Sunday,NIGHT,SERVICE IP
B16-35353,Sunday,NIGHT,ALARM
B16-35352,Sunday,NIGHT,NOISE
B16-35350,Sunday,NIGHT,SUSP ACT NP
B16-35349,Sunday,NIGHT,SERVICE IP
B16-35348,Sunday,NIGHT,TRAFFIC STOP
B16-35347,Sunday,NIGHT,WEAPONS IP
B16-35351,Sunday,NIGHT,WELFARE CHK IP
B16-35343,Sunday,NIGHT,ACCIDENT PD IP
B16-35342,Sunday,NIGHT,ACCIDENT PD IP
B16-35346,Sunday,NIGHT,SUSP ACT NP
B16-35345,Sunday,NIGHT,THEFT NP
B16-35341,Sunday,NIGHT,ATL
B16-35340,Sunday,NIGHT,WEAPONS IP
B16-35339,Sunday,NIGHT,DOMESTIC IP
B16-35338,Sunday,NIGHT,SERVICE IP
B16-35344,Sunday,NIGHT,VANDALISM NP
B16-35335,Sunday,NIGHT,DOMESTIC IP
B16-35336,Sunday,NIGHT,SUSP ACT IP
B16-35337,Sunday,NIGHT,BURGLARY NP
B16-35333,Sunday,NIGHT,ROV IP
B16-35331,Sunday,NIGHT,MOTORIST ASSIST
B16-35332,Sunday,NIGHT,VANDALISM NP
B16-35329,Sunday,DAY,ACCIDENT PD IP
B16-35334,Sunday,DAY,VANDALISM NP
B16-35330,Sunday,DAY,BURGLARY NP
B16-35328,Sunday,DAY,MISSING PERSON
B16-35327,Sunday,DAY,ALARM
B16-35326,Sunday,DAY,TRAFFIC STOP
B16-35325,Sunday,DAY,FOLLOW UP
B16-35323,Sunday,DAY,ACCIDENT LSA NP
B16-35324,Sunday,DAY,SERVICE IP
B16-35322,Sunday,DAY,MOTORIST ASSIST
B16-35321,Sunday,DAY,ASSIGNED DETAIL
B16-35320,Sunday,DAY,PROPERTY
B16-35319,Sunday,DAY,SERVICE IP
B16-35318,Sunday,DAY,FOLLOW UP
B16-35317,Sunday,DAY,FOLLOW UP
B16-35316,Sunday,DAY,HARASSMENT NP
B16-35315,Sunday,DAY,HARASSMENT NP
B16-35314,Sunday,DAY,ATL
B16-35313,Sunday,DAY,ASSIGNED DETAIL
B16-35312,Sunday,DAY,DISTURBANCE IP
B16-35311,Sunday,DAY,SUSP ACT NP
B16-35310,Sunday,DAY,BURGLARY NP
B16-35309,Sunday,DAY,ACCIDENT PD IP
B16-35307,Sunday,DAY,VANDALISM NP
B16-35305,Sunday,DAY,ACCIDENT PI
B16-35306,Sunday,DAY,HARASSMENT NP
B16-35303,Sunday,DAY,TRAFFIC STOP
B16-35301,Sunday,DAY,EXTRA PATROL
B16-35302,Sunday,DAY,TRAFFIC HAZARD
B16-35300,Sunday,DAY,ACCIDENT PI
B16-35304,Sunday,DAY,DOMESTIC IP
B16-35299,Sunday,DAY,ALARM
B16-35298,Sunday,DAY,ACCIDENT PD IP
B16-35308,Sunday,DAY,FOLLOW UP
B16-35297,Sunday,DAY,TRAFFIC STOP
B16-35296,Sunday,DAY,FOLLOW UP
B16-35295,Sunday,DAY,FOLLOW UP
B16-35293,Sunday,DAY,SERVICE IP
B16-35294,Sunday,DAY,SERVICE IP
B16-35292,Sunday,DAY,DOMESTIC IP
B16-35291,Sunday,DAY,PROPERTY
