Case Number,Date Reported,Time Reported,Month Reported,Day of Week Reported,Nature of Call for Service,District,Agency,Report/No Report
B16-09957,3/15/16,7:44 PM,March,Tuesday,TRAFFIC STOP,LB423,BPD,No report
B16-09956,3/15/16,7:38 PM,March,Tuesday,FOLLOW UP,LB424,BPD,No report
B16-09958,3/15/16,7:32 PM,March,Tuesday,HARASSMENT NP,LB511,BPD,No report
B16-09955,3/15/16,7:31 PM,March,Tuesday,JUVENILE,LB523,BPD,No report
B16-09954,3/15/16,7:03 PM,March,Tuesday,FRAUD,LB424,BPD,No report
B16-09952,3/15/16,6:23 PM,March,Tuesday,EXTRA PATROL,LB411,BPD,No report
B16-09950,3/15/16,6:15 PM,March,Tuesday,SERVICE NP,LB410,BPD,Report
B16-09951,3/15/16,6:14 PM,March,Tuesday,WELFARE CHK IP,LB409,BPD,Report
B16-09947,3/15/16,5:58 PM,March,Tuesday,DOMESTIC IP,LB305,BPD,No report
B16-09948,3/15/16,5:57 PM,March,Tuesday,PARKING,LB313,BPD,No report
B16-09946,3/15/16,5:57 PM,March,Tuesday,ACCIDENT PD IP,LB314,BPD,No report
B16-09945,3/15/16,5:51 PM,March,Tuesday,ABUSE NP,LB305,BPD,Report
B16-09943,3/15/16,5:44 PM,March,Tuesday,WELFARE CHK IP,LB516,BPD,Report
B16-09953,3/15/16,5:44 PM,March,Tuesday,VANDALISM NP,LB221,BPD,Report
B16-09949,3/15/16,5:43 PM,March,Tuesday,VANDALISM NP,LB221,BPD,Report
B16-09944,3/15/16,5:37 PM,March,Tuesday,TRESPASS IP,LB104,BPD,No report
B16-09942,3/15/16,5:35 PM,March,Tuesday,TRESPASS IP,LB213,BPD,No report
B16-09940,3/15/16,5:33 PM,March,Tuesday,ATL,LB409,BPD,No report
B16-09941,3/15/16,5:31 PM,March,Tuesday,WELFARE CHK IP,LB326,BPD,No report
B16-09938,3/15/16,5:19 PM,March,Tuesday,WARRANT SERVICE,LB434,BPD,No report
B16-09939,3/15/16,5:06 PM,March,Tuesday,CIVIL NP,LB402,BPD,No report
B16-09937,3/15/16,4:57 PM,March,Tuesday,DOMESTIC IP,LB413,BPD,No report
B16-09936,3/15/16,4:46 PM,March,Tuesday,EXTRA PATROL,LB104,BPD,No report
B16-09935,3/15/16,4:41 PM,March,Tuesday,TRESPASS IP,LB104,BPD,No report
B16-09934,3/15/16,4:36 PM,March,Tuesday,SUSP ACT IP,LB403,BPD,No report
B16-09933,3/15/16,4:28 PM,March,Tuesday,TRESPASS IP,LB410,BPD,No report
B16-09932,3/15/16,4:23 PM,March,Tuesday,WELFARE CHK IP,LB101,BPD,No report
B16-09931,3/15/16,4:11 PM,March,Tuesday,BURGLARY NP,LB513,BPD,Report
B16-09929,3/15/16,4:04 PM,March,Tuesday,SUSP ACT IP,LB403,BPD,No report
B16-09930,3/15/16,4:03 PM,March,Tuesday,WELFARE CHK IP,LB302,BPD,No report
B16-09926,3/15/16,3:53 PM,March,Tuesday,SUSP ACT IP,LB513,BPD,No report
B16-09927,3/15/16,3:43 PM,March,Tuesday,ACCIDENT PD NP,LB304,BPD,No report
B16-09928,3/15/16,3:39 PM,March,Tuesday,ACCIDENT LSA NP,LB517,BPD,Report
B16-09924,3/15/16,3:36 PM,March,Tuesday,ACCIDENT PI,LB101,BPD,Report
B16-09923,3/15/16,3:36 PM,March,Tuesday,TRAFFIC HAZARD,LB511,BPD,No report
B16-09925,3/15/16,3:31 PM,March,Tuesday,WELFARE CHK IP,LB336,BPD,No report
B16-09922,3/15/16,3:14 PM,March,Tuesday,DRUGS IP,LB511,BPD,No report
B16-09920,3/15/16,3:14 PM,March,Tuesday,AMBULANCE DUAL,LB212,BPD,Report
B16-09921,3/15/16,3:13 PM,March,Tuesday,DISTURBANCE IP,LB423,BPD,No report
B16-09918,3/15/16,3:07 PM,March,Tuesday,WARRANT SERVICE,LB401,BPD,No report
B16-09919,3/15/16,3:06 PM,March,Tuesday,DRUGS NP,LB404,BPD,No report
B16-09917,3/15/16,2:50 PM,March,Tuesday,HARASSMENT NP,LB517,BPD,No report
B16-09916,3/15/16,2:49 PM,March,Tuesday,ATL,LB432,BPD,No report
B16-09915,3/15/16,2:40 PM,March,Tuesday,WARRANT SERVICE,LB221,BPD,No report
B16-09914,3/15/16,2:30 PM,March,Tuesday,FOLLOW UP,LB521,BPD,No report
B16-09912,3/15/16,2:06 PM,March,Tuesday,EXTRA PATROL,LB307,BPD,No report
B16-09911,3/15/16,2:02 PM,March,Tuesday,THEFT IP,LB518,BPD,No report
B16-09910,3/15/16,1:58 PM,March,Tuesday,WEAPONS IP,LB319,BPD,No report
B16-09909,3/15/16,1:53 PM,March,Tuesday,ANIMAL,LB520,BPD,No report
B16-09908,3/15/16,1:46 PM,March,Tuesday,DOMESTIC NP,LB336,BPD,No report
B16-09905,3/15/16,1:39 PM,March,Tuesday,DISTURBANCE IP,LB102,BPD,No report
B16-09906,3/15/16,1:34 PM,March,Tuesday,PROPERTY,LB212,BPD,No report
B16-09903,3/15/16,1:19 PM,March,Tuesday,PROPERTY,LB302,BPD,Report
B16-09900,3/15/16,1:11 PM,March,Tuesday,TRAFFIC STOP,LB407,BPD,No report
B16-09904,3/15/16,1:00 PM,March,Tuesday,CIVIL NP,LB413,BPD,No report
B16-09899,3/15/16,12:54 PM,March,Tuesday,DOMESTIC IP,LB410,BPD,No report
B16-09898,3/15/16,12:53 PM,March,Tuesday,EXTRA PATROL,LB102,BPD,No report
B16-09897,3/15/16,12:46 PM,March,Tuesday,BURGLARY NP,LB521,BPD,Report
B16-09913,3/15/16,12:44 PM,March,Tuesday,FRAUD,LB402,BPD,No report
B16-09896,3/15/16,12:35 PM,March,Tuesday,HARASSMENT NP,LB409,BPD,Report
B16-09895,3/15/16,12:30 PM,March,Tuesday,TRAFFIC STOP,LB519,BPD,No report
B16-09902,3/15/16,12:25 PM,March,Tuesday,HARASSMENT NP,LB415,BPD,No report
B16-09892,3/15/16,12:23 PM,March,Tuesday,TRAFFIC STOP,LB512,BPD,No report
B16-09893,3/15/16,12:22 PM,March,Tuesday,BURGLARY NP,LB521,BPD,Report
B16-09894,3/15/16,12:20 PM,March,Tuesday,ALARM,LB322,BPD,No report
B16-09891,3/15/16,12:15 PM,March,Tuesday,EXTRA PATROL,LB524,BPD,No report
B16-09890,3/15/16,12:08 PM,March,Tuesday,PANHANDLING,LB416,BPD,No report
B16-09889,3/15/16,12:02 PM,March,Tuesday,ALARM,LB318,BPD,No report
B16-09886,3/15/16,11:19 AM,March,Tuesday,DISTURBANCE IP,LB102,BPD,No report
B16-09888,3/15/16,11:09 AM,March,Tuesday,VEH THEFT NP,LB412,BPD,Report
B16-09884,3/15/16,11:01 AM,March,Tuesday,ALARM,LB214,BPD,No report
B16-09887,3/15/16,10:54 AM,March,Tuesday,EXTRA PATROL,LB329,BPD,No report
B16-09883,3/15/16,10:53 AM,March,Tuesday,ANIMAL,LB305,BPD,No report
B16-09885,3/15/16,10:49 AM,March,Tuesday,WARRANT SERVICE,LB212,BPD,Report
B16-09882,3/15/16,10:46 AM,March,Tuesday,SERVICE IP,LB416,BPD,No report
B16-09881,3/15/16,10:44 AM,March,Tuesday,ALARM,LB312,BPD,No report
B16-09901,3/15/16,10:32 AM,March,Tuesday,ABANDONED VEH,LB317,BPD,No report
B16-09907,3/15/16,10:20 AM,March,Tuesday,ABANDONED VEH,LB514,BPD,No report
B16-09879,3/15/16,10:06 AM,March,Tuesday,ASSIGNED DETAIL,LB410,BPD,No report
B16-09877,3/15/16,9:53 AM,March,Tuesday,ALARM,LB429,BPD,No report
B16-09880,3/15/16,9:46 AM,March,Tuesday,BURGLARY NP,LB513,BPD,No report
B16-09878,3/15/16,9:45 AM,March,Tuesday,DRUGS NP,LB524,BPD,No report
B16-09874,3/15/16,9:44 AM,March,Tuesday,MOTORIST ASSIST,LB309,BPD,No report
B16-09876,3/15/16,9:42 AM,March,Tuesday,THEFT NP,LB424,BPD,Report
B16-09873,3/15/16,9:26 AM,March,Tuesday,SERIAL MOTOR CH,LB517,BPD,No report
B16-09872,3/15/16,9:13 AM,March,Tuesday,TRAFFIC STOP,LB309,BPD,No report
B16-09871,3/15/16,9:03 AM,March,Tuesday,FRAUD,LB302,BPD,Report
B16-09870,3/15/16,8:50 AM,March,Tuesday,EXTRA PATROL,LB104,BPD,No report
B16-09869,3/15/16,8:38 AM,March,Tuesday,ALARM,LB319,BPD,No report
B16-09868,3/15/16,8:34 AM,March,Tuesday,HARASSMENT NP,LB104,BPD,No report
B16-09867,3/15/16,7:39 AM,March,Tuesday,ACCIDENT PD IP,LB509,BPD,No report
B16-09866,3/15/16,6:38 AM,March,Tuesday,WELFARE CHK IP,LB304,BPD,No report
B16-09865,3/15/16,6:22 AM,March,Tuesday,TRAFFIC STOP,LB221,BPD,No report
B16-09864,3/15/16,6:06 AM,March,Tuesday,TRAFFIC STOP,LB303,BPD,No report
B16-09863,3/15/16,5:31 AM,March,Tuesday,ASSIGNED DETAIL,LB503,BPD,No report
B16-09862,3/15/16,5:02 AM,March,Tuesday,ALARM,LB102,BPD,No report
B16-09860,3/15/16,2:20 AM,March,Tuesday,FIGHT IP,LB523,BPD,No report
B16-09859,3/15/16,1:58 AM,March,Tuesday,ACCIDENT PI,LB516,BPD,Report
B16-09861,3/15/16,1:48 AM,March,Tuesday,NOISE,LB104,BPD,No report
B16-09858,3/15/16,1:27 AM,March,Tuesday,SUSP ACT IP,LB316,BPD,No report
B16-09857,3/15/16,1:22 AM,March,Tuesday,SUSP ACT IP,LB329,BPD,No report
B16-09856,3/15/16,1:06 AM,March,Tuesday,ALARM,LB104,BPD,No report
B16-09855,3/15/16,1:01 AM,March,Tuesday,SERVICE IP,LB316,BPD,Report
B16-09854,3/15/16,12:51 AM,March,Tuesday,SUSP ACT IP,LB524,BPD,No report
B16-09853,3/15/16,12:41 AM,March,Tuesday,ATL,LIU14,BPD,No report
B16-09852,3/15/16,12:19 AM,March,Tuesday,ALARM,LB103,BPD,No report
B16-09851,3/15/16,12:08 AM,March,Tuesday,DISTURBANCE IP,LB336,BPD,No report
B16-09850,3/14/16,11:57 PM,March,Monday,THEFT NP,LB212,BPD,Report
B16-09849,3/14/16,11:47 PM,March,Monday,VANDALISM IP,LB313,BPD,Report
B16-09848,3/14/16,11:44 PM,March,Monday,TRAFFIC STOP,LB305,BPD,No report
B16-09846,3/14/16,11:36 PM,March,Monday,SUSP ACT IP,LB213,BPD,No report
B16-09845,3/14/16,11:30 PM,March,Monday,CIVIL IP,LB510,BPD,No report
B16-09844,3/14/16,11:07 PM,March,Monday,THEFT NP,LB513,BPD,No report
B16-09843,3/14/16,11:05 PM,March,Monday,ATL,LB416,BPD,No report
B16-09842,3/14/16,11:00 PM,March,Monday,TRESPASS IP,LB102,BPD,Report
B16-09840,3/14/16,10:37 PM,March,Monday,SUSP ACT IP,LB315,BPD,No report
B16-09838,3/14/16,10:30 PM,March,Monday,SERVICE IP,LB524,BPD,No report
B16-09839,3/14/16,10:28 PM,March,Monday,JUVENILE,LB219,BPD,Report
B16-09841,3/14/16,10:25 PM,March,Monday,NOISE,LB102,BPD,No report
B16-09837,3/14/16,10:19 PM,March,Monday,EXTRA PATROL,LB326,BPD,No report
B16-09834,3/14/16,10:10 PM,March,Monday,TRAFFIC STOP,LB315,BPD,No report
B16-09836,3/14/16,10:04 PM,March,Monday,EXTRA PATROL,LB331,BPD,No report
B16-09832,3/14/16,9:52 PM,March,Monday,FIGHT IP,LB402,BPD,No report
B16-09831,3/14/16,9:48 PM,March,Monday,HARASSMENT IP,LB521,BPD,No report
B16-09833,3/14/16,9:33 PM,March,Monday,HARASSMENT NP,LB422,BPD,No report
B16-09830,3/14/16,9:17 PM,March,Monday,DISTURBANCE IP,LB104,BPD,No report
B16-09829,3/14/16,8:59 PM,March,Monday,DISTURBANCE IP,LB104,BPD,No report
B16-09828,3/14/16,8:57 PM,March,Monday,ATL,LB422,BPD,No report
B16-09827,3/14/16,8:51 PM,March,Monday,DISTURBANCE IP,LB326,BPD,No report
B16-09826,3/14/16,8:47 PM,March,Monday,WELFARE CHK IP,LB336,BPD,No report
B16-09824,3/14/16,8:13 PM,March,Monday,TRAFFIC STOP,LB327,BPD,Report
B16-09825,3/14/16,8:10 PM,March,Monday,FRAUD,LB520,BPD,No report
B16-09823,3/14/16,8:00 PM,March,Monday,WELFARE CHK IP,LB326,BPD,Report
B16-09822,3/14/16,7:54 PM,March,Monday,FOLLOW UP,LB316,BPD,No report
B16-09821,3/14/16,7:32 PM,March,Monday,JUVENILE,LB521,BPD,No report
B16-09818,3/14/16,7:24 PM,March,Monday,ACCIDENT PD IP,LB409,BPD,No report
B16-09819,3/14/16,7:21 PM,March,Monday,HARASSMENT NP,LB326,BPD,No report
B16-09817,3/14/16,7:14 PM,March,Monday,THEFT NP,LB104,BPD,No report
B16-09820,3/14/16,7:13 PM,March,Monday,SERIAL MOTOR CH,LB513,BPD,No report
B16-09816,3/14/16,7:11 PM,March,Monday,ATL,LB314,BPD,No report
B16-09815,3/14/16,7:09 PM,March,Monday,WELFARE CHK IP,LB326,BPD,
B16-09814,3/14/16,7:09 PM,March,Monday,TRAFFIC STOP,LB221,BPD,No report
B16-09813,3/14/16,6:47 PM,March,Monday,SERVICE IP,LB517,BPD,Report
B16-09812,3/14/16,6:23 PM,March,Monday,ASSAULT IP,LB104,BPD,Report
B16-09811,3/14/16,6:15 PM,March,Monday,VANDALISM NP,LB517,BPD,No report
B16-09810,3/14/16,6:00 PM,March,Monday,WELFARE CHK NP,LB329,BPD,No report
B16-09809,3/14/16,5:59 PM,March,Monday,FOLLOW UP,LB519,BPD,No report
B16-09808,3/14/16,5:36 PM,March,Monday,FIGHT IP,LB104,BPD,No report
B16-09806,3/14/16,5:21 PM,March,Monday,THEFT IP,LB515,BPD,Report
B16-09807,3/14/16,5:11 PM,March,Monday,WARRANT SERVICE,LB327,BPD,No report
B16-09805,3/14/16,5:00 PM,March,Monday,FOLLOW UP,LB314,BPD,No report
B16-09804,3/14/16,4:58 PM,March,Monday,FOLLOW UP,LB104,BPD,No report
B16-09803,3/14/16,4:57 PM,March,Monday,TRAFFIC STOP,LB314,BPD,No report
B16-09802,3/14/16,4:50 PM,March,Monday,CIVIL NP,LB413,BPD,No report
B16-09800,3/14/16,4:45 PM,March,Monday,ACCIDENT PD IP,LB512,BPD,Report
B16-09798,3/14/16,4:22 PM,March,Monday,ALARM,LB217,BPD,No report
B16-09799,3/14/16,4:20 PM,March,Monday,THEFT NP,LB519,BPD,Report
B16-09797,3/14/16,4:16 PM,March,Monday,THEFT IP,LB515,BPD,Report
B16-09795,3/14/16,4:12 PM,March,Monday,DISTURBANCE IP,LB521,BPD,No report
B16-09794,3/14/16,4:10 PM,March,Monday,ALARM,LB326,BPD,No report
B16-09796,3/14/16,4:08 PM,March,Monday,THEFT NP,LB404,BPD,Report
B16-09792,3/14/16,3:53 PM,March,Monday,TRAFFIC STOP,LB104,BPD,No report
B16-09793,3/14/16,3:48 PM,March,Monday,THEFT NP,LB422,BPD,Report
B16-09791,3/14/16,3:47 PM,March,Monday,WELFARE CHK IP,LB316,BPD,Report
B16-09788,3/14/16,3:40 PM,March,Monday,TRAFFIC STOP,LB521,BPD,No report
B16-09790,3/14/16,3:37 PM,March,Monday,THEFT NP,LB403,BPD,No report
B16-09789,3/14/16,3:32 PM,March,Monday,ABANDONED VEH,LB512,BPD,No report
B16-09786,3/14/16,3:13 PM,March,Monday,FOLLOW UP,LB516,BPD,No report
B16-09785,3/14/16,3:08 PM,March,Monday,WARRANT SERVICE,LMS16,BPD,No report
B16-09787,3/14/16,3:00 PM,March,Monday,FRAUD,LB315,BPD,Report
B16-09784,3/14/16,2:58 PM,March,Monday,FIGHT IP,LB102,BPD,Report
B16-09783,3/14/16,2:36 PM,March,Monday,DRUNK,LB102,BPD,No report
B16-09782,3/14/16,2:26 PM,March,Monday,DISTURBANCE NP,LB521,BPD,No report
B16-09780,3/14/16,2:10 PM,March,Monday,WARRANT SERVICE,LB326,BPD,Report
B16-09781,3/14/16,2:10 PM,March,Monday,MENTAL HEALTH,LB409,BPD,Report
B16-09779,3/14/16,1:43 PM,March,Monday,SUSP ACT IP,LB213,BPD,No report
B16-09778,3/14/16,1:24 PM,March,Monday,WELFARE CHK IP,LB102,BPD,No report
B16-09777,3/14/16,12:55 PM,March,Monday,SERVICE IP,LB326,BPD,Report
B16-09776,3/14/16,12:47 PM,March,Monday,NOISE,LB302,BPD,Report
B16-09775,3/14/16,12:44 PM,March,Monday,ACCIDENT PD IP,LB412,BPD,No report
B16-09774,3/14/16,12:35 PM,March,Monday,ACCIDENT PD IP,LB409,BPD,Report
B16-09772,3/14/16,12:23 PM,March,Monday,WELFARE CHK IP,LB518,BPD,No report
B16-09773,3/14/16,12:13 PM,March,Monday,ATL,LB516,BPD,No report
B16-09771,3/14/16,12:13 PM,March,Monday,NOISE,LB310,BPD,No report
B16-09770,3/14/16,12:06 PM,March,Monday,VANDALISM NP,LB302,BPD,Report
B16-09769,3/14/16,11:46 AM,March,Monday,FOLLOW UP,LB102,BPD,No report
B16-09768,3/14/16,11:36 AM,March,Monday,ACCIDENT PD IP,LB520,BPD,No report
B16-09767,3/14/16,11:20 AM,March,Monday,EXTRA PATROL,LB420,BPD,No report
B16-09766,3/14/16,11:15 AM,March,Monday,SUSP ACT IP,LB309,BPD,No report
B16-09765,3/14/16,11:05 AM,March,Monday,SERVICE IP,LB421,BPD,No report
B16-09764,3/14/16,10:51 AM,March,Monday,ACCIDENT PD IP,LB521,BPD,No report
B16-09762,3/14/16,10:23 AM,March,Monday,RUNAWAY,LB513,BPD,No report
B16-09763,3/14/16,10:19 AM,March,Monday,FRAUD,LB329,BPD,No report
B16-09761,3/14/16,10:18 AM,March,Monday,SUSP ACT IP,LB102,BPD,No report
B16-09759,3/14/16,10:14 AM,March,Monday,ASSIGNED DETAIL,LB410,BPD,No report
B16-09760,3/14/16,10:12 AM,March,Monday,SERVICE NP,LB304,BPD,No report
B16-09757,3/14/16,10:00 AM,March,Monday,EXTRA PATROL,LB411,BPD,No report
B16-09758,3/14/16,9:52 AM,March,Monday,THEFT NP,LB305,BPD,Report
B16-09755,3/14/16,9:51 AM,March,Monday,HARASSMENT NP,LB423,BPD,No report
B16-09756,3/14/16,9:51 AM,March,Monday,THEFT NP,LB305,BPD,Report
B16-09753,3/14/16,9:27 AM,March,Monday,DOMESTIC IP,LB517,BPD,Report
B16-09754,3/14/16,9:16 AM,March,Monday,THEFT NP,LB513,BPD,Report
B16-09752,3/14/16,9:10 AM,March,Monday,PROPERTY,LB522,BPD,Report
B16-09751,3/14/16,9:04 AM,March,Monday,ACCIDENT PD IP,LB409,BPD,Report
B16-09750,3/14/16,9:00 AM,March,Monday,BURGLARY IP,LB513,BPD,Report
B16-09749,3/14/16,8:18 AM,March,Monday,FOLLOW UP,LB104,BPD,No report
B16-09748,3/14/16,6:36 AM,March,Monday,TRAFFIC STOP,LB101,BPD,No report
B16-09747,3/14/16,6:28 AM,March,Monday,DISTURBANCE IP,LB104,BPD,No report
B16-09746,3/14/16,5:30 AM,March,Monday,SERVICE IP,LB503,BPD,No report
B16-09745,3/14/16,4:49 AM,March,Monday,WELFARE CHK IP,LB517,BPD,No report
B16-09743,3/14/16,4:27 AM,March,Monday,ANIMAL,LB331,BPD,No report
B16-09744,3/14/16,4:27 AM,March,Monday,NOISE,LB102,BPD,No report
B16-09742,3/14/16,4:17 AM,March,Monday,TRAFFIC STOP,LB410,BPD,No report
B16-09741,3/14/16,3:01 AM,March,Monday,TRAFFIC STOP,LB403,BPD,Report
B16-09740,3/14/16,2:55 AM,March,Monday,SUSP ACT IP,LB406,BPD,Report
B16-09738,3/14/16,2:04 AM,March,Monday,DOMESTIC IP,LB336,BPD,No report
B16-09739,3/14/16,2:03 AM,March,Monday,SERVICE IP,LB303,BPD,No report
B16-09735,3/14/16,1:58 AM,March,Monday,SUSP ACT IP,LB506,BPD,No report
B16-09736,3/14/16,1:54 AM,March,Monday,HARASSMENT IP,LB305,BPD,No report
B16-09734,3/14/16,1:14 AM,March,Monday,SERVICE IP,LB524,BPD,No report
B16-09733,3/14/16,12:27 AM,March,Monday,ACCIDENT PD IP,,BPD,Report
B16-09732,3/14/16,12:13 AM,March,Monday,TRESPASS IP,LB521,BPD,No report
B16-09731,3/14/16,12:11 AM,March,Monday,TRAFFIC STOP,LB519,BPD,Report
B16-09730,3/13/16,11:56 PM,March,Sunday,TRAFFIC STOP,LB101,BPD,No report
B16-09729,3/13/16,11:52 PM,March,Sunday,TRAFFIC STOP,LB520,BPD,No report
B16-09728,3/13/16,11:48 PM,March,Sunday,FOLLOW UP,LB104,BPD,No report
B16-09727,3/13/16,11:24 PM,March,Sunday,EXTRA PATROL,LB507,BPD,No report
B16-09726,3/13/16,10:56 PM,March,Sunday,SUSP ACT NP,LB507,BPD,No report
B16-09725,3/13/16,10:38 PM,March,Sunday,FOLLOW UP,LB104,BPD,No report
B16-09724,3/13/16,10:36 PM,March,Sunday,FOLLOW UP,LB329,BPD,No report
B16-09723,3/13/16,10:22 PM,March,Sunday,FOLLOW UP,LB316,BPD,No report
B16-09721,3/13/16,10:11 PM,March,Sunday,TRAFFIC STOP,LB315,BPD,No report
B16-09720,3/13/16,10:05 PM,March,Sunday,ACCIDENT PI,LB519,BPD,Report
B16-09722,3/13/16,10:04 PM,March,Sunday,NOISE,LB302,BPD,No report
B16-09718,3/13/16,9:55 PM,March,Sunday,DRUGS IP,LB421,BPD,No report
B16-09719,3/13/16,9:53 PM,March,Sunday,THEFT NP,LB101,BPD,No report
B16-09717,3/13/16,9:44 PM,March,Sunday,DRUNK,LB412,BPD,No report
B16-09716,3/13/16,9:27 PM,March,Sunday,SUSP ACT IP,LB424,BPD,No report
B16-09715,3/13/16,9:16 PM,March,Sunday,TRAFFIC STOP,LB421,BPD,No report
B16-09714,3/13/16,9:11 PM,March,Sunday,ACCIDENT PD IP,LB310,BPD,No report
B16-09713,3/13/16,9:03 PM,March,Sunday,WELFARE CHK IP,LB305,BPD,No report
B16-09712,3/13/16,8:58 PM,March,Sunday,BLDG CHECK,LB424,BPD,No report
B16-09710,3/13/16,8:57 PM,March,Sunday,SUSP ACT IP,LB404,BPD,No report
B16-09711,3/13/16,8:56 PM,March,Sunday,TRAFFIC HAZARD,LB517,BPD,No report
B16-09709,3/13/16,8:51 PM,March,Sunday,SUSP ACT IP,LB215,BPD,No report
B16-09708,3/13/16,8:17 PM,March,Sunday,WELFARE CHK IP,LB402,BPD,No report
B16-09707,3/13/16,8:14 PM,March,Sunday,DISTURBANCE IP,LB336,BPD,No report
B16-09706,3/13/16,8:00 PM,March,Sunday,TRAFFIC STOP,LB512,BPD,Report
B16-09705,3/13/16,7:45 PM,March,Sunday,VANDALISM NP,LB513,BPD,No report
B16-09704,3/13/16,7:44 PM,March,Sunday,FOLLOW UP,LIU14,BPD,No report
B16-09702,3/13/16,7:25 PM,March,Sunday,THEFT IP,LB515,BPD,Report
B16-09703,3/13/16,7:24 PM,March,Sunday,TRESPASS IP,LB214,BPD,No report
B16-09701,3/13/16,7:24 PM,March,Sunday,TRESPASS IP,LB519,BPD,No report
B16-09700,3/13/16,7:12 PM,March,Sunday,ROV NP,LB404,BPD,No report
B16-09699,3/13/16,6:44 PM,March,Sunday,ACCIDENT PD IP,LB102,BPD,No report
B16-09696,3/13/16,6:29 PM,March,Sunday,HARASSMENT NP,LB221,BPD,No report
B16-09697,3/13/16,6:28 PM,March,Sunday,ALARM,LB326,BPD,No report
B16-09698,3/13/16,6:24 PM,March,Sunday,ANIMAL,LB519,BPD,No report
B16-09695,3/13/16,6:24 PM,March,Sunday,TRAFFIC STOP,LB315,BPD,No report
B16-09694,3/13/16,6:15 PM,March,Sunday,ANIMAL,LB517,BPD,No report
B16-09693,3/13/16,6:14 PM,March,Sunday,VEH THEFT NP,LB329,BPD,Report
B16-09692,3/13/16,5:56 PM,March,Sunday,ALARM,LB326,BPD,No report
B16-09691,3/13/16,5:39 PM,March,Sunday,BLDG CHECK,LB102,BPD,No report
B16-09690,3/13/16,5:36 PM,March,Sunday,ALARM,LB312,BPD,No report
B16-09688,3/13/16,5:31 PM,March,Sunday,JUVENILE,LB424,BPD,No report
B16-09689,3/13/16,5:31 PM,March,Sunday,ANIMAL,LB104,BPD,No report
B16-09687,3/13/16,5:30 PM,March,Sunday,JUVENILE,LB517,BPD,No report
B16-09686,3/13/16,5:27 PM,March,Sunday,TRAFFIC HAZARD,LB103,BPD,No report
B16-09685,3/13/16,5:00 PM,March,Sunday,WEAPONS IP,LB428,BPD,No report
B16-09683,3/13/16,4:44 PM,March,Sunday,DRUGS IP,LB104,BPD,Report
B16-09681,3/13/16,4:33 PM,March,Sunday,SERVICE IP,LB212,BPD,No report
B16-09682,3/13/16,4:32 PM,March,Sunday,PROPERTY,LB301,BPD,Report
B16-09684,3/13/16,4:31 PM,March,Sunday,BURGLARY NP,LB413,BPD,Report
B16-09680,3/13/16,4:06 PM,March,Sunday,SUSP ACT IP,LB104,BPD,No report
B16-09679,3/13/16,4:03 PM,March,Sunday,PROPERTY,LB104,BPD,No report
B16-09678,3/13/16,3:53 PM,March,Sunday,THEFT NP,LB521,BPD,No report
B16-09676,3/13/16,3:42 PM,March,Sunday,FOLLOW UP,LB326,BPD,No report
B16-09677,3/13/16,3:40 PM,March,Sunday,TRESPASS IP,LB102,BPD,No report
B16-09675,3/13/16,3:37 PM,March,Sunday,DISTURBANCE IP,LB513,BPD,No report
B16-09674,3/13/16,3:25 PM,March,Sunday,TRAFFIC HAZARD,LB517,BPD,No report
B16-09673,3/13/16,3:15 PM,March,Sunday,ASSAULT IP,LB307,BPD,Report
B16-09672,3/13/16,2:49 PM,March,Sunday,TRAFFIC STOP,LB513,BPD,No report
B16-09668,3/13/16,2:22 PM,March,Sunday,WELFARE CHK IP,LB101,BPD,No report
B16-09667,3/13/16,2:16 PM,March,Sunday,EXTRA PATROL,LB313,BPD,No report
B16-09665,3/13/16,2:10 PM,March,Sunday,ASSIGNED DETAIL,LB102,BPD,No report
B16-09666,3/13/16,2:09 PM,March,Sunday,WELFARE CHK IP,LB517,BPD,No report
B16-09670,3/13/16,2:08 PM,March,Sunday,VEH THEFT NP,LB336,BPD,Report
B16-09664,3/13/16,1:50 PM,March,Sunday,FOLLOW UP,LB218,BPD,No report
B16-09671,3/13/16,1:49 PM,March,Sunday,PROPERTY,LB326,BPD,No report
B16-09663,3/13/16,1:42 PM,March,Sunday,SUSP ACT IP,LB102,BPD,Report
B16-09661,3/13/16,1:41 PM,March,Sunday,FOLLOW UP,LB310,BPD,No report
B16-09660,3/13/16,1:39 PM,March,Sunday,FOLLOW UP,LB104,BPD,No report
B16-09662,3/13/16,1:33 PM,March,Sunday,SERVICE IP,LB336,BPD,No report
B16-09669,3/13/16,1:23 PM,March,Sunday,NOISE,LB310,BPD,No report
B16-09658,3/13/16,1:12 PM,March,Sunday,SERVICE IP,LB102,BPD,No report
B16-09659,3/13/16,1:08 PM,March,Sunday,DRUNK,LB423,BPD,No report
B16-09657,3/13/16,12:52 PM,March,Sunday,ACCIDENT PD IP,LB518,BPD,Report
B16-09654,3/13/16,12:44 PM,March,Sunday,PROPERTY,LB104,BPD,No report
B16-09652,3/13/16,12:30 PM,March,Sunday,DISTURBANCE IP,LB102,BPD,No report
B16-09651,3/13/16,12:28 PM,March,Sunday,ALARM,LB402,BPD,No report
B16-09656,3/13/16,12:21 PM,March,Sunday,VEH THEFT NP,LB423,BPD,Report
B16-09655,3/13/16,12:10 PM,March,Sunday,CIVIL IP,LB326,BPD,No report
